run_id,seed,density,description,model,clean_run,family,fpr,f1,auc,precision,recall,detection_delay_median_s
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",GNN,False,Sensor,,0.0259,0.6862,0.0131,0.9808,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",Physics-EKF,False,ALL,,0.0,0.4474,0.0,0.0,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",Physics-EKF,False,Physical,,0.0,0.491,0.0,0.0,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",Physics-EKF,False,Sensor,,0.0,0.2798,0.0,0.0,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",Hybrid-IDS,False,ALL,,0.1101,0.8038,0.0582,1.0,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",Hybrid-IDS,False,Physical,,0.064,0.831,0.033,1.0,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",Hybrid-IDS,False,Sensor,,0.0246,0.7387,0.0124,1.0,
8,943,low,"Control path attacks low density (A3,A7,A10)",LSTM-AE,False,ALL,,0.024,0.8361,0.0121,1.0,
8,943,low,"Control path attacks low density (A3,A7,A10)",LSTM-AE,False,Cyber,,0.0175,0.8396,0.0088,1.0,
8,943,low,"Control path attacks low density (A3,A7,A10)",GNN,False,ALL,,0.0295,0.7007,0.015,0.822,
8,943,low,"Control path attacks low density (A3,A7,A10)",GNN,False,Cyber,,0.022,0.7048,0.0111,0.8372,
8,943,low,"Control path attacks low density (A3,A7,A10)",Physics-EKF,False,ALL,,0.0,0.479,0.0,0.0,
8,943,low,"Control path attacks low density (A3,A7,A10)",Physics-EKF,False,Cyber,,0.0,0.4631,0.0,0.0,
8,943,low,"Control path attacks low density (A3,A7,A10)",Hybrid-IDS,False,ALL,,0.0286,0.7706,0.0145,1.0,
8,943,low,"Control path attacks low density (A3,A7,A10)",Hybrid-IDS,False,Cyber,,0.0209,0.7734,0.0106,1.0,
9,1024,normal,"All attacks, extended S2 interruption context",LSTM-AE,False,ALL,,0.0541,0.9098,0.0278,1.0,
9,1024,normal,"All attacks, extended S2 interruption context",LSTM-AE,False,Physical,,0.0117,0.9587,0.0059,1.0,
9,1024,normal,"All attacks, extended S2 interruption context",LSTM-AE,False,Sensor,,0.0169,0.9157,0.0085,1.0,
9,1024,normal,"All attacks, extended S2 interruption context",LSTM-AE,False,Cyber,,0.0101,0.8439,0.0051,1.0,
9,1024,normal,"All attacks, extended S2 interruption context",GNN,False,ALL,,0.0464,0.5889,0.0239,0.7922,
9,1024,normal,"All attacks, extended S2 interruption context",GNN,False,Physical,,0.0112,0.7344,0.0056,0.8868,
9,1024,normal,"All attacks, extended S2 interruption context",GNN,False,Sensor,,0.0166,0.6065,0.0084,0.9091,
9,1024,normal,"All attacks, extended S2 interruption context",GNN,False,Cyber,,0.0079,0.5593,0.004,0.7174,
9,1024,normal,"All attacks, extended S2 interruption context",Physics-EKF,False,ALL,,0.0,0.5163,0.0,0.0,
9,1024,normal,"All attacks, extended S2 interruption context",Physics-EKF,False,Physical,,0.0,0.7744,0.0,0.0,
9,1024,normal,"All attacks, extended S2 interruption context",Physics-EKF,False,Sensor,,0.0,0.4993,0.0,0.0,
9,1024,normal,"All attacks, extended S2 interruption context",Physics-EKF,False,Cyber,,0.0,0.4474,0.0,0.0,
9,1024,normal,"All attacks, extended S2 interruption context",Hybrid-IDS,False,ALL,,0.055,0.6611,0.0283,1.0,
9,1024,normal,"All attacks, extended S2 interruption context",Hybrid-IDS,False,Physical,,0.0119,0.7832,0.006,1.0,
9,1024,normal,"All attacks, extended S2 interruption context",Hybrid-IDS,False,Sensor,,0.0172,0.6695,0.0087,1.0,
9,1024,normal,"All attacks, extended S2 interruption context",Hybrid-IDS,False,Cyber,,0.0103,0.6374,0.0052,1.0,
10,1337,none,"Clean continuous run, no attacks (FPR reference)",LSTM-AE,True,CLEAN,0.7997,,,,,
10,1337,none,"Clean continuous run, no attacks (FPR reference)",GNN,True,CLEAN,0.5033,,,,,
10,1337,none,"Clean continuous run, no attacks (FPR reference)",Physics-EKF,True,CLEAN,0.0,,,,,
10,1337,none,"Clean continuous run, no attacks (FPR reference)",Hybrid-IDS,True,CLEAN,0.6822,,,,,
